date;cases;type
2020-03-03;  1;confirmed
2020-03-04;  3;confirmed
2020-03-05;  4;confirmed
2020-03-06;  5;confirmed
2020-03-07;  7;confirmed
2020-03-08; 10;confirmed
2020-03-09; 15;confirmed
2020-03-10; 17;confirmed
2020-03-11; 23;confirmed
2020-03-12; 33;confirmed
2020-03-13; 43;confirmed
2020-03-14; 61;confirmed
2020-03-15; 75;confirmed
2020-03-16;156;confirmed
2020-03-17;201;confirmed
2020-03-03;  0;recovered
2020-03-04;  0;recovered
2020-03-05;  0;recovered
2020-03-06;  0;recovered
2020-03-07;  0;recovered
2020-03-08;  0;recovered
2020-03-09;  0;recovered
2020-03-10;  0;recovered
2020-03-11;  0;recovered
2020-03-12;  0;recovered
2020-03-13;  0;recovered
2020-03-14;  0;recovered
2020-03-15;  0;recovered
2020-03-16;  0;recovered
2020-03-17;  0;recovered
